type_id,plan_id,original_price,real_price
0,0,750,
0,1,1064,
0,2,2032,
0,3,3968,
0,4,8082,
0,5,15730,
0,6,31460,
0,7,59290,
1,0,459,
1,1,762,
1,2,1258,1144
1,3,2407,2189
1,4,4927,4389
1,5,10720,9746
1,6,24308,22099
1,7,48617,44198
2,0,399,
2,1,666,
2,2,1105,955
2,3,2122,1832
2,4,4251,3672
2,5,9430,8144
2,6,23087,19939
2,7,46182,39884
3,0,381,347
3,1,634,547
3,2,1055,892
3,3,2025,1712
3,4,4058,3431
3,5,9001,7610
3,6,21871,18491
3,7,43750,36989
4,0,353,321
4,1,588,508
4,2,980,757
4,3,1970,1522
4,4,3950,3052
4,5,8570,6623
4,6,21440,16567
4,7,42800,33142
5,0,341,310
5,1,568,491
5,2,947,689
5,3,1915,1393
5,4,3730,2713
5,5,8240,5993
5,6,20800,15193
5,7,42340,30793
6,0,325,296
6,1,542,468
6,2,903,616
6,3,1860,1268
6,4,3511,2394
6,5,7910,5393
6,6,20340,13868
6,7,41790,28493